"","lonlat","Freq","lon","lat"
"275","-123.9695657 45.4605229",1,"-123.9695657","45.4605229"
"276","-124.1562852 46.9736986",1,"-124.1562852","46.9736986"
"277","-125.2733354 50.0331226",1,"-125.2733354","50.0331226"
"278","-125.4493906 49.6506376",1,"-125.4493906","49.6506376"
"279","-127.6476206 53.7266683",3,"-127.6476206","53.7266683"
"280","-134.515181 58.3365651",1,"-134.515181","58.3365651"
"281","-149.0729715 62.4113634",1,"-149.0729715","62.4113634"
"282","-149.9002778 61.2180556",1,"-149.9002778","61.2180556"
"283","-155.5827818 19.8967662",1,"-155.5827818","19.8967662"
"284","-156.4450063 20.7644275",1,"-156.4450063","20.7644275"
"285","-156.4549577 20.8876411",1,"-156.4549577","20.8876411"
"286","-157.7394444 21.4022222",1,"-157.7394444","21.4022222"
"287","-157.8583333 21.3069444",2,"-157.8583333","21.3069444"
"288","-158.0832614 21.531894",1,"-158.0832614","21.531894"
"289","-158.2206477 21.4634328",1,"-158.2206477","21.4634328"
"290","-16.7338211 28.1220604",1,"-16.7338211","28.1220604"
"291","-2.094278 57.149717",1,"-2.094278","57.149717"
"292","-2.13125 49.214439",1,"-2.13125","49.214439"
"293","-2.1727481 52.6615371",1,"-2.1727481","52.6615371"
"294","-2.236386 52.4492649",1,"-2.236386","52.4492649"
"295","-2.302568 51.746985",1,"-2.302568","51.746985"
"296","-2.58791 51.454513",1,"-2.58791","51.454513"
"297","-2.7021047 53.6823877",1,"-2.7021047","53.6823877"
"298","-2.997077 47.720529",1,"-2.997077","47.720529"
"299","-3.0025615 16.7665887",1,"-3.0025615","16.7665887"
"300","-3.1495175 56.2082078",1,"-3.1495175","56.2082078"
"301","-3.1952233 58.9181129",2,"-3.1952233","58.9181129"
"302","-3.435973 55.378051",11,"-3.435973","55.378051"
"303","-3.7033725 40.4162883",1,"-3.7033725","40.4162883"
"304","-3.7037902 40.4167754",3,"-3.7037902","40.4167754"
"305","-3.7038322 40.4167515",1,"-3.7038322","40.4167515"
"306","-3.74922 40.463667",2,"-3.74922","40.463667"
"307","-3.8080783 53.0711149",1,"-3.8080783","53.0711149"
"308","-34.8828969 -8.0578381",1,"-34.8828969","-8.0578381"
"309","-35.882916 -7.219842",1,"-35.882916","-7.219842"
"310","-37.681228 -9.2766863",1,"-37.681228","-9.2766863"
"311","-38.2314566 -6.7519382",1,"-38.2314566","-6.7519382"
"312","-38.3001341 -12.8704981",1,"-38.3001341","-12.8704981"
"313","-38.502304 -12.9730401",1,"-38.502304","-12.9730401"
"314","-38.5266704 -3.7318616",1,"-38.5266704","-3.7318616"
"315","-39.1959729 -7.5993135",1,"-39.1959729","-7.5993135"
"316","-4.0501505 43.3488503",1,"-4.0501505","43.3488503"
"317","-4.1426565 50.3754565",1,"-4.1426565","50.3754565"
"318","-4.193056 52.934281",1,"-4.193056","52.934281"
"319","-4.251806 55.864237",4,"-4.251806","55.864237"
"320","-4.6679959 55.3649698",1,"-4.6679959","55.3649698"
"321","-40.3077898 -20.1215224",1,"-40.3077898","-20.1215224"
"322","-40.4425922 -16.519664",1,"-40.4425922","-16.519664"
"323","-41.6809724 -14.1968614",1,"-41.6809724","-14.1968614"
"324","-41.7007272 -12.579738",1,"-41.7007272","-12.579738"
"325","-43.1728965 -22.9068467",10,"-43.1728965","-22.9068467"
