"","lon","lat"
"688",-75.1196199,39.9259463
"689",-79.9414266,37.2709704
"690",-71.0588801,42.3600825
"691",-71.0588801,42.3600825
"692",-71.0588801,42.3600825
"693",-106.3250584,32.0000773
"694",-71.761522,42.1920719
"695",-84.1916069,39.7589478
"696",NA,NA
"697",-79.0611183,40.0577277
"698",NA,NA
"699",NA,NA
"700",-107.8144772,37.6305177
"701",NA,NA
"702",-75.1652215,39.9525839
"703",NA,NA
"704",-122.8231915,47.0342629
"705",14.332644,40.901975
"706",-70.1515342,41.7020781
"707",-119.4179324,36.778261
"708",-71.0682388,42.3607878
"709",-71.3161718,42.6334247
"710",-122.2711137,37.8043637
"711",NA,NA
"712",-99.133208,19.4326077
"713",NA,NA
"714",-73.8623337,45.4560415
"715",-85.768597,41.0006005
"716",NA,NA
"717",-0.1078746,51.5264898
"718",-119.4179324,36.778261
"719",-83.9787808,30.8365815
"720",-117.8311428,33.7174708
"721",NA,NA
"722",-93.3603563,44.8713848
"723",-111.0937311,34.0489281
"724",-77.216339,38.927775
"725",-119.4179324,36.778261
"726",-3.8080783,53.0711149
"727",-122.2913078,37.8271784
"728",-80.7416223,35.4293124
"729",NA,NA
"730",-97.3208492,32.5420821
"731",-95.3698028,29.7604267
"732",-86.90708,40.140953
"733",-102.4107493,34.2331373
"734",-83.7430378,42.2808256
"735",12.56738,41.87194
"736",NA,NA
"737",-39.1959729,-7.5993135
"738",-89.3985283,40.6331249
"739",-82.3892596,28.0352964
"740",-117.0499859,32.8085507
"741",-85.7228061,42.8122508
"742",-80.9822286,43.3700007
"743",-71.2478251,42.0653812
"744",-70.8092163,43.0851662
"745",-71.3824374,42.4072107
"746",-74.0059413,40.7127837
"747",-97.6752728,32.751138
"748",-96.7969879,32.7766642
"749",-118.2436849,34.0522342
"750",-3.435973,55.378051
"751",-81.4709358,28.1573736
"752",-78.8783689,42.8864468
"753",-73.2765361,41.7866294
"754",-76.7802528,39.4195499
"755",NA,NA
"756",-102.4107493,34.2331373
"757",-87.9922684,15.5149204
"758",-117.7068412,33.4695832
"759",-82.907123,40.4172871
"760",-77.6109219,43.16103
"761",NA,NA
"762",-82.9937434,42.3502169
"763",-90.5405795,41.4674517
"764",54.3773438,24.453884
"765",NA,NA
"766",-3.435973,55.378051
"767",-96.7969879,32.7766642
"768",NA,NA
"769",-121.7517702,36.7619511
"770",-79.3831843,43.653226
"771",-82.907123,40.4172871
"772",-41.6809724,-14.1968614
"773",-79.9958864,40.4406248
"774",NA,NA
"775",-87.771964,41.909611
"776",-77.0368707,38.9071923
"777",-117.1610838,32.715738
"778",-96.9767023,37.6866844
"779",NA,NA
"780",-99.9018131,31.9685988
"781",-122.6026274,47.1698197
"782",-76.9758274,18.0193171
"783",-47.4098328,-22.5836504
"784",73.712479,24.585445
"785",NA,NA
"786",-84.4277001,33.6407282
"787",-95.3268747,29.6912036
"788",-3.435973,55.378051
"789",NA,NA
"790",-71.0588801,42.3600825
"791",-85.1393513,41.079273
"792",NA,NA
"793",-122.6764816,45.5230622
"794",1.0559289,12.1612846
"795",-106.1020263,28.660437
"796",-87.8328505,42.4461322
"797",-90.0489801,35.1495343
"798",-74.4851659,40.6049167
"799",-94.2265117,42.7384177
"800",-79.532157,43.8169837
"801",-111.929658,40.5621704
"802",-68.8458386,-32.8894587
"803",-81.5157535,27.6648274
"804",-78.7583432,37.8131025
"805",-97.7430608,30.267153
"806",-81.3444573,35.7344538
"807",-121.6957863,37.931868
"808",-99.2342196,39.4085122
"809",NA,NA
"810",-78.3908559,43.0964478
"811",77.5928353,13.1021823
"812",-118.1228476,34.0625106
"813",-95.3698028,29.7604267
"814",NA,NA
"815",-84.3879824,33.7489954
"816",-1.128462,53.52282
"817",-97.3307658,32.7554883
"818",-69.4454689,45.253783
"819",-86.5163833,36.5817089
"820",NA,NA
"821",-155.5827818,19.8967662
"822",-78.2452713,38.0340323
"823",-84.028839,39.731067
"824",-122.4194155,37.7749295
"825",-100.9836611,25.43208
"826",NA,NA
"827",-80.365865,26.190096
"828",NA,NA
"829",NA,NA
"830",-100.3161126,25.6866142
"831",-113.4909267,53.544389
"832",-90.256776,32.231676
"833",-1.1743197,52.3555177
"834",NA,NA
"835",-96.9819507,32.7229096
"836",-117.1483648,33.4936391
"837",-94.3952022,31.9037814
"838",-81.5157535,27.6648274
"839",-2.236386,52.4492649
"840",NA,NA
"841",-91.5487714,40.9716959
"842",-84.4493725,33.6534427
"843",-73.2519376,40.8212188
"844",-81.5157535,27.6648274
"845",-77.0368707,38.9071923
"846",-117.688944,34.0122346
